Pre;Post;Sections;Type
ASHL;ADLL;1;chemical
ADLL;AIBL;4;chemical
ADLL;AIAL;4;chemical
ADLL;ASER;4;chemical
ASHL;AVDR;1;chemical
ADLL;AWBL;1;chemical
SDQR;AVBL;1;chemical
SDQR;ADLL;1;chemical
ADLL;AVBL;4;chemical
ADLL;AVAL;4;chemical
ADLL;AVJR;2;chemical
ADLL;AVBL;2;chemical
ADLL;AVJL;3;chemical
ADLL;ALA;3;chemical
ADLL;AVDL;3;chemical
ADLL;AVDL;1;chemical
ADLL;AIBL;1;chemical
ADLL;AIAL;1;chemical
AWBL;AWAL;1;chemical
AWBL;AWCL;1;chemical
ADLR;AIAR;3;chemical
ADLR;AIBR;3;chemical
ADLR;PVCL;1;chemical
ADLR;AVBL;1;chemical
ADLR;AVDL;1;chemical
ADLR;AIAR;1;chemical
ADLR;AIBR;1;chemical
AIAR;AIBR;1;chemical
AIAR;ADLR;1;chemical
ADLR;AIAR;2;chemical
ASKR;AIAR;1;chemical
ASGR;AIAR;1;chemical
ADLR;AWCR;5;chemical
ADLR;AIAR;5;chemical
ADLR;AIBR;5;chemical
ADLR;AVJR;2;chemical
ADLR;AVDR;2;chemical
ADLR;AVDR;1;chemical
ADLR;AVJR;1;chemical
AVHR;ADLR;1;chemical
AVHR;AVJR;1;chemical
URYVL;RMDVR;8;chemical
URYVL;RMDDL;8;chemical
URYVL;OLQVL;8;chemical
OLLR;URYVL;1;chemical
OLLR;URYVL;1;chemical
URYVL;AVEL;3;chemical
URYVL;OLLR;3;chemical
URYVL;RMDVR;3;chemical
RIS;RMDR;1;chemical
RIS;AVKR;1;chemical
URYVL;RIBR;3;chemical
URYVL;AVEL;3;chemical
RMDVR;URYVL;2;chemical
RIAL;RIBL;1;chemical
OLLL;RMDDL;1;chemical
OLLL;URYVL;1;chemical
OLLL;AVER;1;chemical
URYVL;RIBL;1;chemical
URYVL;AVER;1;chemical
URYVL;AVER;4;chemical
URYVL;SMDVR;4;chemical
URYVL;AVER;2;chemical
URYVL;SMDVR;2;chemical
URYVL;SMDVR;3;chemical
URYVL;AVER;3;chemical
URYVL;RIBL;3;chemical
URYVL;OLLL;3;chemical
URYVL;AVER;2;chemical
URYVR;RIBR;1;chemical
URYVR;AVEL;5;chemical
URYVR;SMDVL;5;chemical
URYVR;RIBR;5;chemical
URYVR;AVEL;5;chemical
URYVR;SMDVL;5;chemical
URYVR;RIBR;5;chemical
URYVR;AVL;5;chemical
URYVR;RMDDR;1;chemical
URYVR;AVEL;1;chemical
RIH;URYVR;3;chemical
RIH;RIBR;3;chemical
URYVR;AVEL;1;chemical
URYVR;SMDVL;1;chemical
URYVR;RMDDR;1;chemical
URYVR;AVEL;1;chemical
URYVR;RMDDR;6;chemical
URYVR;AVEL;6;chemical
URYVR;RIBR;6;chemical
URYVR;IL1VR;1;chemical
URYVR;RMDDR;1;chemical
URYVR;RMDDR;1;chemical
URYDR;IL1DR;1;chemical
URYDR;IL1DR;1;chemical
URYDR;AWCL;1;chemical
URYDR;OLQDR;1;chemical
URYDR;AVBL;1;chemical
URYDR;AVER;1;chemical
URYDR;URXR;1;chemical
URYDR;IL1DR;3;chemical
URYDR;SMDDL;2;chemical
URYDR;SMDDL;2;chemical
URYDR;SMDDL;1;chemical
URYDR;SMDDL;3;chemical
URYDR;AVEL;3;chemical
RIS;AVEL;1;chemical
RIS;SMDDL;1;chemical
RIS;RIBR;1;chemical
RIS;AVEL;1;chemical
RIS;URYDR;1;chemical
RIS;RIBR;1;chemical
URYDR;RMDVR;2;chemical
URYDR;AVEL;1;chemical
URYDR;RMDVR;1;chemical
AIZL;AIBR;2;chemical
AIZL;AVER;2;chemical
AIZL;AIBR;1;chemical
AIZL;AVER;1;chemical
ASKL;AIAL;1;chemical
ASKL;ASJL;1;chemical
HSNL;HSNL;1;chemical
HSNL;ASKL;1;chemical
HSNL;ADLL;1;chemical
DVA;AVER;1;chemical
DVA;AIZL;1;chemical
ASKL;AIBL;1;chemical
ASKL;AIAL;1;chemical
ASHL;AVAL;1;chemical
ASHL;AVDR;1;chemical
AIMR;AVFL;1;chemical
AIMR;HSNL;1;chemical
RIMR;SAAVR;2;chemical
RIMR;SMDDL;2;chemical
RIS;AVER;2;chemical
RIS;RIMR;2;chemical
VB01;RMFL;3;chemical
VB01;SAADL;3;chemical
VB01;RIML;3;chemical
AVHR;RIR;1;chemical
IL2VR;RIH;1;chemical
IL2VR;RMEV;1;chemical
ADER;dBWMR4;1;chemical
ADER;IL2R;1;chemical
ADER;IL1R;1;chemical
DVA;AVER;2;chemical
DVA;AUAR;2;chemical
AINL;AFDR;1;chemical
AINL;ASIL;1;chemical
AIAL;ASKL;1;chemical
AIAL;ADLL;1;chemical
URYVL;RIBL;3;chemical
URYVL;SMDVR;3;chemical
URYVL;AVER;3;chemical
URYVL;CEPVL;3;chemical
SMDVR;AVER;1;chemical
RICR;RIML;1;chemical
RICR;VB01;1;chemical
RICR;RMFL;1;chemical
VB01;RMFL;3;chemical
VB01;RIML;3;chemical
VB01;SAADL;3;chemical
VB01;ADAL;3;chemical
VB01;RIML;2;chemical
VB01;SAADL;2;chemical
VB01;ADAL;2;chemical
RIML;AIBR;6;chemical
RIML;VB01;6;chemical
RIML;RIML;6;chemical
RIMR;SMDDL;2;chemical
RIMR;VB01;2;chemical
VB01;SAADL;1;chemical
URYDL;AVEL;1;chemical
URYDL;AIZL;1;chemical
RIBL;URYDL;1;chemical
CEPDL;RIBL;1;chemical
CEPDL;URYDL;1;chemical
URYDL;IL1DL;2;chemical
URYDL;AVER;1;chemical
URYDL;RIBL;1;chemical
URYDL;AVER;2;chemical
URYDL;RIBL;2;chemical
URYDL;AVER;1;chemical
URYDL;RIBL;1;chemical
URYDL;AVER;2;chemical
URYDL;RIBL;3;chemical
URYDL;AVER;3;chemical
URYDL;OLQDL;1;chemical
URYDL;IL1DL;1;chemical
OLLL;URYDL;1;chemical
OLLL;AVER;1;chemical
URYDL;OLLL;1;chemical
URYDL;OLLL;1;chemical
URYDL;OLQDL;1;chemical
URYDL;RIBL;1;chemical
URYDL;RMDVL;1;chemical
URYDL;RMDVL;1;chemical
RIBL;URYDL;1;chemical
RIBL;DVC;1;chemical
RIR;URXR;1;chemical
RIR;RIAR;1;chemical
URXR;AUAR;1;chemical
URXR;RIR;1;chemical
URXR;RIR;1;chemical
URXR;AUAR;5;chemical
URXR;RIAR;5;chemical
RIR;URXR;2;chemical
RIR;RIAR;2;chemical
URXR;AUAR;2;chemical
URXR;RIAR;2;chemical
URXR;AUAR;1;chemical
URXR;RIAR;1;chemical
URXR;RIPR;1;chemical
URXR;OLQVR;1;chemical
URXR;AVBL;1;chemical
URXR;RIPR;1;chemical
URXR;AVBL;1;chemical
URXR;RIPR;1;chemical
URXR;RIPR;2;chemical
URXR;RIPR;1;chemical
AIMR;URXR;1;chemical
URXR;ALMR;1;chemical
URXR;RMGR;1;chemical
URXR;RIPR;1;chemical
URXR;OLQVR;1;chemical
URXR;AUAR;1;chemical
URXR;RIAR;1;chemical
BAGL;CEHVR;1;chemical
BAGL;URAVR;1;chemical
BAGL;URXR;1;chemical
BAGL;RIAR;1;chemical
RIGR;URXR;1;chemical
RIGR;RIAR;1;chemical
RIGR;URXR;1;chemical
RIGR;URXR;1;chemical
URXR;AVER;2;chemical
URXR;RIAR;2;chemical
URBR;RMGR;1;chemical
URBR;URXR;1;chemical
URBR;AVDL;1;chemical
ADER;RMDR;1;chemical
ADER;URXR;1;chemical
URBR;RMGR;4;chemical
URBR;URXR;4;chemical
URBR;ADAR;4;chemical
URBR;CEPVR;4;chemical
URXR;RMGR;1;chemical
URXR;AUAR;1;chemical
URXR;AUAR;4;chemical
URXR;RIAR;4;chemical
URXR;AIMR;2;chemical
URXR;AWBR;2;chemical
URXR;ADFR;2;chemical
URXR;RIR;2;chemical
ADAR;URXR;2;chemical
ADAR;AVAR;2;chemical
AIMR;AVAR;1;chemical
AIMR;URXR;1;chemical
URBR;SMBDL;2;chemical
URBR;URXR;2;chemical
URXR;SIADL;2;chemical
URXR;RMDDL;2;chemical
URXR;URBR;2;chemical
URBR;CEPDR;1;chemical
CEPDR;URXR;1;chemical
URXR;RMGR;1;chemical
URXR;CEPDR;1;chemical
URXR;AIMR;1;chemical
RMGR;URXR;1;chemical
RMGR;ADAR;1;chemical
URXR;RMDR;4;chemical
URXR;SMBVR;4;chemical
URXR;SIAVR;4;chemical
RMDL;IL1R;1;chemical
RMDL;URXR;1;chemical
URXR;RIGR;3;chemical
URXR;RIGR;1;chemical
URXR;RIGR;1;chemical
URXR;URBR;1;chemical
URXR;URBR;1;chemical
URXR;URBR;1;chemical
URXR;URBR;1;chemical
URXR;AVAR;1;chemical
URXR;ADAR;1;chemical
URXR;RICR;2;chemical
URXR;URBR;2;chemical
URBR;URXR;2;chemical
URBR;SMBDL;2;chemical
URXR;RICR;1;chemical
RIR;AIZR;1;chemical
RIR;URXR;1;chemical
RIFR;AVBR;2;chemical
RIFR;URXR;2;chemical
RIFR;RIPR;2;chemical
RIFR;CEPVR;2;chemical
ADAR;ASHR;1;chemical
URXR;RIGR;1;chemical
URXR;RIAR;1;chemical
URXL;RIR;1;chemical
URXL;AUAL;1;chemical
URXL;RIAL;1;chemical
URXL;RIAL;1;chemical
URXL;AUAL;1;chemical
URYVL;RIH;2;chemical
URYVL;RIAL;2;chemical
URYVL;URXL;2;chemical
RIH;BAGR;5;chemical
RIH;RIAL;5;chemical
URXL;RIAL;2;chemical
RIGL;URXL;1;chemical
RIGL;URXL;3;chemical
RIR;URXL;1;chemical
RIAL;RIR;1;chemical
RIAL;URXL;1;chemical
AQR;URXL;2;chemical
AQR;RIAL;2;chemical
RIGL;URXL;2;chemical
URXL;ADFL;1;chemical
URXL;AIZL;1;chemical
URXL;HSNR;1;chemical
URXL;AIML;1;chemical
URXL;AVAL;1;chemical
URXL;AUAL;1;chemical
URXL;AUAL;1;chemical
URBL;URXL;6;chemical
URBL;IL1L;6;chemical
URBL;IL1L;3;chemical
URBL;URXL;3;chemical
URXL;AVEL;1;chemical
URXL;IL2L;1;chemical
URXL;ASHL;1;chemical
URXL;AVEL;1;chemical
URXL;RMGL;1;chemical
URXL;AVEL;1;chemical
URXL;AVJR;4;chemical
URXL;AVBL;4;chemical
URBL;URXL;3;chemical
URXL;AVEL;3;chemical
URXL;RICL;1;chemical
CEPVL;RICL;2;chemical
CEPVL;URXL;2;chemical
CEPVL;RMHR;2;chemical
CEPVL;RMGL;2;chemical
URXL;AVEL;1;chemical
URXL;AIML;1;chemical
AIML;URXL;1;chemical
AIML;AVFL;1;chemical
URBL;URXL;1;chemical
URBL;URXL;1;chemical
URXL;URXL;2;chemical
URXL;AVEL;2;chemical
ADAL;URXL;1;chemical
ADAL;RICL;1;chemical
ADAL;RICR;1;chemical
IL2L;RICL;1;chemical
IL2L;URXL;1;chemical
ADFL;AIZL;1;chemical
ADFL;URXL;1;chemical
URXL;ADAL;4;chemical
URXL;RICL;4;chemical
URXL;ADAL;1;chemical
URXL;RMGL;1;chemical
URBL;ADAL;2;chemical
URBL;URXL;2;chemical
URBL;URXL;2;chemical
PVNR;CEPDL;2;chemical
PVNR;URBL;2;chemical
PVNR;URXL;2;chemical
PVNR;ALML;2;chemical
URBL;URXL;2;chemical
URBL;URXL;1;chemical
URXL;RMGL;1;chemical
URXL;RICL;1;chemical
RMGL;ADAL;1;chemical
URXL;RICL;2;chemical
URXL;CEPDL;1;chemical
URXL;ASIL;1;chemical
URXL;IL1DL;1;chemical
URXL;IL1DL;1;chemical
AINR;URXL;2;chemical
AINR;CEPDL;2;chemical
URXL;AVDR;1;chemical
URXL;RIGL;1;chemical
URBL;URXL;1;chemical
URBL;PVR;1;chemical
ADER;URBR;1;chemical
ADER;ALNR;1;chemical
ALMR;SMDDL;1;chemical
ALMR;URBR;1;chemical
IL2R;URBR;2;chemical
IL2R;ADER;2;chemical
URBR;IL2R;3;chemical
URBR;RMGR;3;chemical
ADLR;RICR;4;chemical
ADLR;URBR;4;chemical
ADLR;URBR;1;chemical
URBR;ADLR;1;chemical
RICR;URBR;1;chemical
SIBVR;ADLR;3;chemical
SIBVR;RICL;3;chemical
URBR;SMBVR;1;chemical
URBR;ADLR;1;chemical
URBR;RICL;1;chemical
URBR;SIAVR;1;chemical
URBR;RMDL;1;chemical
URBR;IL1R;1;chemical
URBR;RMDR;1;chemical
IL2R;URBR;1;chemical
CEPDR;URBR;2;chemical
CEPDR;CEPDR;2;chemical
CEPDR;URBR;1;chemical
CEPDR;CEPDR;1;chemical
URBR;AVBR;1;chemical
URBR;ADAR;1;chemical
CEPDR;URBR;3;chemical
CEPDR;RICR;3;chemical
CEPDR;URBR;1;chemical
CEPDR;RICL;3;chemical
CEPDR;RICR;3;chemical
URBR;OLLR;1;chemical
URBL;OLLL;1;chemical
URBL;RMHR;1;chemical
URBL;RICL;1;chemical
URBL;RMHR;1;chemical
IL1VR;RIPR;1;chemical
IL1VR;URAVR;1;chemical
IL1VR;RIPR;1;chemical
IL1VR;URAVR;1;chemical
URAVR;vBWMR4;6;chemical
URAVR;RIPR;6;chemical
URAVR;vBWMR4;1;chemical
URAVR;RIPR;1;chemical
IL1VR;RIPR;1;chemical
IL1VR;RIPR;1;chemical
URAVR;vBWMR4;1;chemical
URAVR;RIPR;1;chemical
URAVR;vBWMR4;1;chemical
URAVR;vBWMR2;1;chemical
URAVR;vBWMR4;1;chemical
URAVR;vBWMR2;3;chemical
URAVR;RMER;3;chemical
URAVR;vBWMR4;3;chemical
URAVR;vBWMR4;1;chemical
URAVR;RMDVL;1;chemical
URAVR;IL1R;2;chemical
URAVR;RMEV;2;chemical
URAVR;vBWMR4;2;chemical
RIH;OLQDL;1;chemical
RIH;RIPR;1;chemical
URAVR;RIH;1;chemical
URAVR;ADAR;1;chemical
URAVR;IL2VR;1;chemical
CEPVR;OLQVR;1;chemical
CEPVR;URAVR;1;chemical
CEPVR;SMBVR;2;chemical
CEPVR;URAVR;2;chemical
CEPVR;OLQVR;2;chemical
IL2VR;RIPR;1;chemical
IL2VR;URAVR;1;chemical
IL2VR;ADLR;1;chemical
URAVR;IL2VR;1;chemical
URAVR;PVT;1;chemical
IL1VR;vBWMR4;2;chemical
IL1VR;RMDDR;2;chemical
RIPR;URAVR;1;chemical
RMDVL;OLQVR;1;chemical
RMDVL;IL2VR;1;chemical
IL1VR;URAVR;1;chemical
IL1VR;RIPR;1;chemical
IL1VR;RMDDR;1;chemical
IL1VR;RIPR;1;chemical
URAVR;vBWMR2;5;chemical
URAVR;IL1VR;5;chemical
URAVR;RIPR;5;chemical
URAVR;vBWMR3;5;chemical
URAVR;IL1VR;1;chemical
URAVR;vBWMR2;1;chemical
URAVR;vBWMR4;1;chemical
URAVR;IL1VR;1;chemical
URAVR;URYVR;1;chemical
URAVR;RMER;1;chemical
URAVR;vBWMR3;2;chemical
URAVR;vBWMR2;2;chemical
URAVR;vBWMR6;1;chemical
URAVR;RMEL;1;chemical
IL2VR;IL1VR;1;chemical
IL2VR;URAVR;1;chemical
IL2VR;URAVR;1;chemical
IL2VR;CEHVR;1;chemical
URAVR;RMDDR;1;chemical
URAVL;DVC;1;chemical
DVC;URAVL;1;chemical
CEPVL;URYVL;1;chemical
CEPVL;AVER;1;chemical
URAVL;vBWML2;1;chemical
URAVL;RIPL;5;chemical
URAVL;vBWML1;5;chemical
URAVL;IL1VL;5;chemical
URAVL;vBWML2;6;chemical
URAVL;RMDDL;6;chemical
URAVL;RIPL;6;chemical
URAVL;RMDDL;1;chemical
URAVL;RMDVR;1;chemical
URAVL;CEPVL;1;chemical
URAVL;vBWML1;1;chemical
URAVL;RIPL;1;chemical
URAVL;vBWML1;1;chemical
URAVL;vBWML1;1;chemical
URAVL;RMEL;2;chemical
URAVL;RIPL;2;chemical
URAVL;vBWML1;1;chemical
URAVL;IL1VL;1;chemical
URAVL;vBWML1;1;chemical
URAVL;RMEV;6;chemical
URAVL;vBWML2;6;chemical
URAVL;vBWML1;6;chemical
URAVL;RMEL;6;chemical
URAVL;vBWML2;1;chemical
URAVL;RMEV;4;chemical
URAVL;vBWML1;4;chemical
URAVL;IL1L;3;chemical
URAVL;vBWML2;3;chemical
RIH;RIPL;1;chemical
RIH;IL2VL;1;chemical
IL2VL;IL1VL;1;chemical
IL2VL;OLQVL;1;chemical
IL2VL;URAVL;1;chemical
IL2VL;DVC;1;chemical
IL2VL;RIPL;2;chemical
IL2VL;IL1VL;2;chemical
IL2VL;URAVL;1;chemical
IL2VL;RIPL;1;chemical
AINL;RID;2;chemical
URAVL;RMER;1;chemical
URAVL;RMER;1;chemical
CEPDR;URADR;1;chemical
IL2DR;IL1DR;2;chemical
IL2DR;URADR;2;chemical
IL2DR;CEPDR;2;chemical
CEPDR;RICL;2;chemical
CEPDR;URADR;2;chemical
URADR;dBWMR2;1;chemical
URADR;CEHDR;1;chemical
URADR;IL1DR;1;chemical
URADR;dBWMR2;1;chemical
ADAR;RIPR;1;chemical
ADAR;AVBR;1;chemical
URADR;dBWMR2;1;chemical
URADR;dBWMR5;1;chemical
URADR;dBWMR1;1;chemical
URADR;RMER;1;chemical
URADR;dBWMR4;1;chemical
URADR;dBWMR4;3;chemical
URADR;dBWMR5;3;chemical
URADR;dBWMR1;2;chemical
URADR;URYDR;1;chemical
URADR;RIPR;1;chemical
URADR;dBWMR5;2;chemical
URADR;dBWMR1;2;chemical
URADR;dBWMR1;1;chemical
URADR;RIPR;1;chemical
BDUL;URADL;1;chemical
BDUL;AVHL;1;chemical
BDUL;URADL;1;chemical
BDUL;AVHL;1;chemical
IL2DL;AVBR;2;chemical
IL2DL;URADL;2;chemical
IL2DL;RIPL;2;chemical
IL1DL;IL2DL;1;chemical
CEPDL;URADL;4;chemical
CEPDL;RIPL;4;chemical
CEPDL;OLQDL;4;chemical
CEPDL;RICR;4;chemical
CEPDL;URADL;1;chemical
CEPDL;RIPL;1;chemical
CEPDL;IL2DL;1;chemical
URADL;dBWML1;1;chemical
URADL;RIPL;1;chemical
URADL;RIPL;1;chemical
URADL;IL1DL;1;chemical
URADL;RMEL;1;chemical
URADL;RIPL;1;chemical
IL2DL;RMEL;4;chemical
IL2DL;URADL;4;chemical
IL2DL;RMER;4;chemical
IL2DL;RMEL;1;chemical
IL2DL;URADL;1;chemical
IL2DL;RMER;1;chemical
PVR;URADL;1;chemical
PVR;AVBR;1;chemical
URADL;IL1DL;1;chemical
URADL;dBWML1;1;chemical
PLNL;SAADR;1;chemical
PLNL;SMBVR;1;chemical
SIBVR;PLNL;1;chemical
SIBVR;OLQVR;1;chemical
SIBVR;RMHR;1;chemical
PLNL;SAADR;1;chemical
PLNL;SMBVR;1;chemical
RIVR;RMDDL;1;chemical
RIVR;SMDVR;1;chemical
RIAL;RMDDL;1;chemical
RIAL;SMDDL;1;chemical
OLLL;SMDVR;2;chemical
SMDVR;CEPVL;1;chemical
OLLL;SMDVR;3;chemical
OLLL;SMDVR;3;chemical
URAVL;RIBL;1;chemical
URAVL;AVER;1;chemical
RIBL;SMDVR;1;chemical
RIBL;AVER;1;chemical
RIBL;SMDVR;1;chemical
RIBL;AVER;1;chemical
SMDVR;AVAR;1;chemical
SMDVR;RIML;1;chemical
SMDVR;AIBR;1;chemical
AVAR;SMDVR;1;chemical
RICR;SMDVL;2;chemical
RICR;SMDVR;2;chemical
RICR;SMDVL;1;chemical
RICR;SMDVR;1;chemical
SMDVR;SMDVL;1;chemical
SMDVL;RIAL;1;chemical
SMDVL;ALNL;2;chemical
RIGL;AIZR;1;chemical
RIGL;AVER;1;chemical
RIGL;AIZR;1;chemical
AVJL;AINL;1;chemical
AVHL;AVDL;1;chemical
AVHL;AVJL;1;chemical
SMDVL;RIVL;1;chemical
SMDVL;RIVL;1;chemical
AQR;AVAL;1;chemical
SAAVL;SMDVL;1;chemical
BAGR;SMDVL;1;chemical
DVA;SMBDL;1;chemical
DVA;SMDVL;1;chemical
SMBVL;SMBDL;2;chemical
SMBDL;SMBVL;1;chemical
SMBDL;SMBVL;1;chemical
DVA;SMBDL;1;chemical
DVA;SMBVL;1;chemical
DVA;SMBDL;2;chemical
DVA;SMBVL;2;chemical
ADFL;SMBVL;1;chemical
ADFL;SMBDL;1;chemical
AWBL;SMBVL;1;chemical
AWBL;RIAL;1;chemical
SMBVL;PVPL;1;chemical
SMBVL;AVHR;1;chemical
SMBVL;AVJR;1;chemical
SMBVL;AVBR;1;chemical
RMGL;SMBVL;1;chemical
AIML;RMGL;1;chemical
AIML;SMBVL;1;chemical
ADEL;AVEL;1;chemical
RMGL;SIAVL;1;chemical
RMGL;SMBVL;1;chemical
PLNR;SAADL;1;chemical
PLNR;SMBVL;1;chemical
RIVR;SAADL;1;chemical
SAADL;RIVR;1;chemical
SMBVL;RMEV;1;chemical
SMBVL;RMEV;2;chemical
SMBVL;vBWML6;2;chemical
SMBVL;vBWML6;1;chemical
SMBVL;RMEV;1;chemical
SMBVL;vBWML6;3;chemical
SMBVL;RMEV;3;chemical
OLQVL;RMDVR;1;chemical
SMBVL;vBWML4;3;chemical
SMBVL;vBWML5;3;chemical
RMDVR;SIBVL;1;chemical
RMDVR;vBWML4;1;chemical
SMBVL;vBWML4;3;chemical
SMBVL;vBWML1;3;chemical
SAADR;SMBVR;1;chemical
SAADR;PLNL;1;chemical
SMBVR;vBWMR7;1;chemical
SMBVR;RMEV;2;chemical
SMBVR;PVR;2;chemical
SMBVR;vBWMR3;2;chemical
SMBVR;RMEV;2;chemical
SMBVR;vBWMR3;2;chemical
SMBVR;CEPVR;2;chemical
SMBVR;RMEV;1;chemical
SMBVR;vBWMR4;7;chemical
SMBVR;vBWMR1;7;chemical
OLLL;RMDDL;1;chemical
OLLL;CEPVL;1;chemical
AVHL;SMBVR;2;chemical
AVHL;SMBDR;2;chemical
SMBVR;SMBDR;1;chemical
SMBVR;AVHL;1;chemical
ADLR;SMBVR;3;chemical
ADLR;AVDL;3;chemical
ASHR;ADLR;5;chemical
ASHR;SMBVR;5;chemical
ASHR;AIAR;5;chemical
ASHR;AVDL;5;chemical
PVCL;SMBVR;1;chemical
SMBVR;ADLR;1;chemical
SMBVR;RMGR;1;chemical
ADLR;AIAR;2;chemical
ADLR;ASER;2;chemical
ADLR;AIBR;2;chemical
AINR;AFDL;1;chemical
AFDL;AINR;1;chemical
AWAL;AIZL;2;chemical
AWAL;AFDL;2;chemical
AFDL;AFDL;1;chemical
AFDL;AIYL;1;chemical
AINR;AFDL;1;chemical
AINR;AUAL;1;chemical
AFDL;AIYL;1;chemical
AFDL;AIYL;3;chemical
AFDL;AIYL;2;chemical
AFDL;AIYL;1;chemical
AWCL;AIZL;1;chemical
AWCL;AIYL;1;chemical
AWCL;AFDL;1;chemical
ASEL;ASJL;1;chemical
ASEL;AWBL;1;chemical
RIGR;AIZR;1;chemical
RIGR;AFDR;1;chemical
AINL;AFDR;1;chemical
ASIL;AWAR;1;chemical
ASIL;ASER;1;chemical
ASIL;AWAR;1;chemical
AWAR;AIZR;3;chemical
AWAR;AFDR;3;chemical
AWAR;AFDR;1;chemical
AWAR;AIZR;1;chemical
AINL;AFDR;1;chemical
AFDR;AIYR;2;chemical
AFDR;AIYR;2;chemical
ASEL;AIYR;1;chemical
AWAR;AFDR;1;chemical
AWAR;RIR;1;chemical
AWAR;AIZR;1;chemical
AWAR;AFDR;1;chemical
AFDR;AIYR;1;chemical
AWAR;AIZR;1;chemical
AWAR;AFDR;1;chemical
AWAR;AIZR;2;chemical
AWAR;AFDR;2;chemical
AWAR;AIZR;1;chemical
AWAR;AFDR;1;chemical
AINL;AUAR;1;chemical
AINL;AFDR;1;chemical
AFDR;AIYR;1;chemical
AFDR;ASER;3;chemical
AFDR;AIYR;3;chemical
ASER;AIYR;1;chemical
ASER;AFDR;1;chemical
ASER;AIYR;1;chemical
ASER;AFDR;1;chemical
AFDR;AIYR;3;chemical
ASER;AFDR;1;chemical
ASEL;AIYR;1;chemical
ASEL;AFDR;1;chemical
AINR;ASEL;1;chemical
AINR;AFDR;1;chemical
ASGL;AIAL;7;chemical
ASGL;AIBL;7;chemical
AIML;ASGL;1;chemical
AIML;CEHVL;1;chemical
ASER;ADLL;2;chemical
ASER;AIAL;2;chemical
AIZL;AIAL;1;chemical
AIZL;AIBL;1;chemical
AIZL;AWCR;1;chemical
ASIL;ASER;2;chemical
ASIL;AIAL;2;chemical
AIAL;AIBL;2;chemical
AIAL;ASER;2;chemical
AWBL;AIZL;2;chemical
AWBL;AIAL;2;chemical
ASEL;AIAL;2;chemical
ASEL;AIBL;2;chemical
AIAL;ASER;2;chemical
AIAL;AIBL;2;chemical
ASEL;AIAL;2;chemical
ASEL;AIBL;2;chemical
ASER;AIAL;2;chemical
ASER;AIBL;2;chemical
ASER;AIAL;1;chemical
AIZL;AIAL;4;chemical
AIZL;AIBL;4;chemical
AIZL;AWCR;1;chemical
AIZL;AIAL;1;chemical
AIZL;AIBL;1;chemical
AIAL;AWCR;1;chemical
AIAL;AIBL;1;chemical
AIAL;ASJL;1;chemical
AIAL;AIBL;1;chemical
AIAL;AWCL;1;chemical
AWCL;AIAL;1;chemical
AWCL;AIBL;1;chemical
AWCR;AIAL;1;chemical
AIAL;ASKL;1;chemical
AIAL;PVQL;1;chemical
ASER;AIAL;1;chemical
ASIR;AIAR;1;chemical
ASIR;AIAL;1;chemical
AIAL;AIBL;1;chemical
AIAR;AIBR;1;chemical
AIAR;ADLR;1;chemical
AIMR;ASGR;2;chemical
AIMR;AIAR;2;chemical
ASGR;AIBR;1;chemical
ASGR;AIAR;1;chemical
ASHR;AIAR;1;chemical
ASHR;AVDL;3;chemical
ASHR;AIBR;3;chemical
ASHR;AIAR;3;chemical
AIAR;ASGR;2;chemical
ASGR;AIBR;1;chemical
ASGR;AIAR;1;chemical
ASGR;ASER;2;chemical
ASGR;AIAR;2;chemical
ASGR;AIBR;2;chemical
AIAR;ASER;2;chemical
AIAR;AIBR;2;chemical
AIAR;ASER;1;chemical
AIAR;AIBR;1;chemical
ASGR;AIBR;1;chemical
ASGR;AIAR;1;chemical
ASGR;ASER;1;chemical
ASGR;AIBR;1;chemical
ASGR;AIAR;1;chemical
AIAR;AWCL;2;chemical
AIAR;ASIR;2;chemical
AIAR;AWCR;2;chemical
AIAR;AIBR;1;chemical
AIAR;AWCR;1;chemical
AWCR;ASIR;2;chemical
AWCR;AIAR;2;chemical
AIZR;AIAR;1;chemical
AIZR;AIBR;1;chemical
AIZR;AWCR;1;chemical
AWAR;AIAR;1;chemical
AWAR;ASGR;1;chemical
AIZR;AIAR;1;chemical
AIZR;AIBR;1;chemical
AIZR;AWCR;1;chemical
AIAR;AWAR;2;chemical
AIAR;ASER;2;chemical
AIAR;AIBR;2;chemical
ASER;AIAR;1;chemical
AIZR;ASER;1;chemical
AIZR;AIAR;1;chemical
AIZR;ASER;1;chemical
AIZR;AIAR;1;chemical
AWCR;AIAR;3;chemical
ASER;AIBR;2;chemical
ASER;AIAR;2;chemical
AIZR;AIBR;1;chemical
AIZR;AIAR;1;chemical
AIAR;AIZR;2;chemical
AIAR;AIBR;2;chemical
AWCL;AIAR;2;chemical
AWAR;AIZR;1;chemical
AWAR;AIAR;1;chemical
ASER;AIBR;1;chemical
ASER;AIAR;1;chemical
ASER;AWCL;1;chemical
ADLR;AIBR;1;chemical
ADLR;AIAR;1;chemical
AIAR;AIBR;1;chemical
AIAR;AWCL;1;chemical
AWCL;AIAR;1;chemical
AWCL;AIBR;1;chemical
ASIR;AIAR;1;chemical
ASIR;AIBR;1;chemical
AIAR;AIBR;1;chemical
AIAR;AWAR;1;chemical
AIAR;AWAR;1;chemical
AIAR;AWCL;2;chemical
AIAR;AIBR;2;chemical
